system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
59,208.00793,82.69618830956854,2.237571767730248,176.68364227276214,23.0,0.6879,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.6934305259955293,156,6,52,63,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.567995216774154,59.23229166128424,
60,203.48177,109.76316556226746,1.7519666720469425,178.44757060226797,23.0,0.685,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.6646762321511996,160,6,53,60,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.57206773753328,59.23229166128424,
61,201.33508,146.41557186458994,1.619398221172198,178.68246460320177,23.0,0.683,172.0,44.0,139.0,827.0,25.0,241.0,93.0,268.0,1.6227619997686233,157,7,54,59,259.0,-33.0,62.0,-4.0,194.0,55.0,-65.0,7052.0,148.0,107.0,11.576140258292469,59.23229166128424,
62,205.74274,246.79348765538566,2.4504040005450842,186.16728495990722,23.0,0.7481,171.0,44.0,139.0,826.0,25.0,241.0,93.0,268.0,2.3876896987869296,152,7,51,65,260.0,-33.0,62.0,-3.0,195.0,55.0,-65.0,7033.0,148.0,107.0,11.58835782057004,59.23229166128424,
63,206.90103,126.45687132046477,1.8370594450734212,177.09013515943786,23.0,0.7375,170.0,44.0,139.0,821.0,25.0,239.0,92.0,266.0,1.5244846307521838,150,7,50,62,259.0,-32.0,62.0,-3.0,194.0,56.0,-65.0,7007.0,147.0,108.0,11.592430341329228,59.23229166128424,
64,209.38957,126.31858789122612,2.2523216129088,178.07066538734432,24.0,0.7138,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,3.171531127246029,153,4,53,62,258.0,-33.0,62.0,-4.0,193.0,55.0,-65.0,6999.0,147.0,107.0,11.550999670723211,59.23020832795109,
65,210.10411,174.0269951040653,3.316184960658827,180.90981927239378,24.0,0.7279,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,3.5765716658061573,152,6,52,63,258.0,-33.0,62.0,-4.0,193.0,55.0,-65.0,6999.0,147.0,107.0,11.555071942773424,59.23020832795109,
66,206.79523,128.00149004804246,2.400968308081331,180.07236305003792,23.0,0.72045,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,2.779951567232849,151,6,52,62,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.559144214823638,59.23020832795109,
67,209.85162,211.30653100432033,1.7601200538686819,183.0885982014465,23.0,0.69255,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,1.3292237229761266,152,7,51,62,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.56321648687385,59.23020832795109,
68,211.08919,114.56019463109604,1.3433107851576405,179.05879298237068,23.0,0.6769,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.371185493738583,156,6,52,61,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.567288758924063,59.23020832795109,
69,208.57755,56.413139301866536,1.63482009479707,177.83928992796615,23.0,0.6805,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,1.1011057238974742,159,6,53,61,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.57136103097421,59.23020832795109,
70,205.15865,88.77384723973427,2.6067184002287487,176.79711829441484,23.0,0.6918,172.0,44.0,139.0,827.0,25.0,241.0,93.0,268.0,1.9911562902746003,156,6,54,60,259.0,-33.0,62.0,-4.0,194.0,55.0,-65.0,7052.0,148.0,107.0,11.575433303024422,59.23020832795109,
71,200.87454,137.7368252534238,2.113114116247407,178.23740244253543,23.0,0.7045,172.0,44.0,139.0,827.0,25.0,241.0,93.0,268.0,1.5943739627496623,151,6,52,62,259.0,-33.0,62.0,-4.0,194.0,55.0,-65.0,7052.0,148.0,107.0,11.579505575074634,59.23020832795109,
72,199.9121,183.2586312794697,0.36397194275530503,180.50061967080308,23.0,0.7205,171.0,44.0,139.0,826.0,25.0,241.0,93.0,268.0,0.057879621701512535,155,9,52,60,260.0,-33.0,62.0,-3.0,195.0,55.0,-65.0,7033.0,148.0,107.0,11.583577847124849,59.23020832795109,
73,201.7915,203.2149899129533,1.8551656130736465,182.18806717291622,23.0,0.7324,171.0,44.0,139.0,826.0,25.0,241.0,93.0,268.0,1.4101111709218273,152,10,51,59,260.0,-33.0,62.0,-3.0,195.0,55.0,-65.0,7033.0,148.0,107.0,11.587650119175061,59.23020832795109,
74,202.57068,167.8926662087634,2.6551027946275654,179.4126420139182,23.0,0.73265,170.0,44.0,139.0,821.0,25.0,239.0,92.0,266.0,2.062282378191125,152,8,50,64,259.0,-32.0,62.0,-3.0,194.0,56.0,-65.0,7007.0,147.0,108.0,11.591722391225273,59.23020832795109,
75,199.4037,138.43712923725613,3.2401107003399474,175.19127306352752,23.0,0.72975,170.0,44.0,139.0,821.0,25.0,239.0,92.0,266.0,2.7367183847644774,152,7,51,65,259.0,-32.0,62.0,-3.0,194.0,56.0,-65.0,7007.0,147.0,108.0,11.595794663275486,59.23020832795109,
76,207.41583,147.92630139343473,1.9742452739772773,178.75962313658889,23.0,0.7076,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,2.4373844100334905,153,8,51,62,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.558438355893053,59.22812499461795,
77,206.40308,184.88459847298026,1.9755400820586013,184.37333666681545,23.0,0.6927,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,2.0090714889399246,152,7,52,64,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.562510379270046,59.22812499461795,
78,209.98799,114.45712747527632,0.5887205105786011,180.13194554231612,23.0,0.6754,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,0.04476770378797086,154,8,52,63,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.566582402647041,59.22812499461795,
79,210.57309,190.64441829633884,1.2537511236175427,181.36934792723812,23.0,0.6876,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,0.676813042508107,155,6,52,66,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7010.0,147.0,107.0,11.57065442602397,59.22812499461795,
