soil_ph,soil_bd,DTM_10m,slope,temp_seasonality,soil_sand,rain_warmestQuart,soil_carbon,isothermality,aspect,ndvi,id
52,94,886.9722,36.68945918150048,5746,55,232,4,28,248.97896671420065,0.80405,80287
55,141,987.7996,8.598148066695162,7746,52,267,1,27,31.193522172982906,0.7935,25449
45,116,812.1954,20.99988594521665,4940,46,290,21,29,191.29343682582012,0.8205,63405
57,145,809.70593,24.113913243063003,6452,61,288,3,25,263.97432992560107,0.763,76223
50,121,566.7562,23.12559048397561,4456,63,407,6,28,41.15050627633684,0.7922,64616
56,148,916.31604,9.892474426770205,7891,52,263,15,26,37.738143398341606,0.7419,27455
54,123,419.33218,49.73749187799858,5496,62,396,8,24,164.00360261926008,0.6314,54740
61,91,179.63815,41.580754490901285,5753,54,248,15,28,205.8679945153582,0.8126,78173
60,127,864.4425,8.472913930481567,7582,58,252,3,27,81.12198670080743,0.5463,20193
56,123,717.16327,21.9445316272323,5910,63,361,4,24,141.91611243354546,0.7345,66701
56,141,862.55786,17.016998905774305,7905,55,246,2,25,65.15017088129649,0.759,22467
54,115,158.3342,50.578444315597366,4839,58,224,15,28,91.81144400039008,0.7721,63167
52,113,89.37362,22.415435721040943,5299,62,217,5,28,215.25588215475193,0.83385,79225
54,115,190.30667,48.01078347450417,4918,62,225,0,29,29.944171622747895,0.8529,63658
57,135,838.2256,6.799846885376917,8003,53,253,4,24,66.04065348270235,0.741,49862
53,125,630.4804,35.10850435917073,5166,54,308,9,28,271.96154335234723,0.8468,84032
54,118,94.8794,26.173504315694966,5254,60,188,9,29,101.68159502722793,0.8648,79331
55,118,699.67334,35.502763606240535,6102,57,194,3,29,110.00379084936485,0.812,84955
57,137,700.834,3.9641630491050175,8057,56,247,0,25,281.84768032678994,0.6239,51491
54,116,833.19775,2.129161821566695,7069,51,252,16,27,189.44309938711106,0.6731,15703
57,147,748.12384,19.41988684392413,7567,55,268,22,27,209.910900045306,0.776,6623
53,144,767.4052,11.47920196557389,7451,60,266,5,26,256.9987677326154,0.7584,8983
54,130,885.4766,4.147376924490778,7432,56,239,6,25,218.54933574589393,0.7612,37769
51,149,217.26547,2.4427006474548145,6992,61,242,7,24,220.01000222672974,0.72655,29479
54,146,414.2656,3.935173810358673,6047,57,295,7,24,255.68578198531642,0.7437,70943
56,125,420.93634,21.484259929235648,6148,61,269,6,29,232.58767398071683,0.70725,78121
55,144,228.05519,40.251483460084906,5986,55,234,0,29,112.34808719078133,0.84125,86621
54,154,844.9727,18.009372372589453,7988,62,261,5,27,86.14747834689595,0.6812,1835
62,142,750.6664,6.363769567676683,7911,54,244,10,24,229.34607606063145,0.4202,42221
57,114,879.2248,2.4911196659596295,7850,55,249,4,25,212.94037284027246,0.6616,21099
53,126,817.52374,6.980339285416485,7901,53,244,9,24,247.9561467416495,0.76495,41043
50,131,351.97775,7.843258425694117,5444,63,371,5,23,93.73141346136684,0.7728,56529
50,137,796.1151,5.286679480808992,7733,53,250,6,24,200.84056757511513,0.7551,36940
53,128,894.14325,16.03824912603829,6658,54,281,1,26,123.66667645584221,0.7198,76099
50,118,862.32153,9.926977970004112,7535,53,236,5,25,184.45182801631492,0.8097,38265
54,135,777.3516,16.257497020637135,6468,58,280,2,26,82.48883734746661,0.769,76384
59,112,842.38306,3.4941206374762506,7970,53,245,5,25,243.85998803636275,0.6016,46438
54,126,901.7954,2.6491489223139992,6580,48,280,6,26,185.6972247050842,0.7059,75176
53,108,864.1055,3.4982581166912796,5773,59,365,7,24,195.07950319030797,0.70305,69350
56,150,581.13135,6.823128421906203,7613,63,266,7,25,230.97804735553478,0.7706,8176
55,132,931.0071,12.433156627840527,6130,57,348,9,25,108.22609544870609,0.7279,76369
57,134,1025.3594,6.678678390852076,6919,53,272,6,27,320.28372353915336,0.7032,17746
52,110,785.5377,2.203644140175512,8002,51,256,2,25,181.65592768837797,0.69,53873
57,128,937.9702,3.145356543211362,7867,51,269,2,27,147.37116670388042,0.7519,29133
46,121,349.77463,24.714030914456853,4678,62,507,7,27,212.68210395994902,0.7827,31
53,149,748.7936,14.442440563646084,7531,53,267,3,26,270.47288629015975,0.72825,7588
52,125,612.001,7.8940730924873135,7974,56,262,6,26,77.01077169709862,0.7739,4620
55,135,700.20416,2.8089839195981914,8062,55,238,4,24,231.956918890048,0.75255,45980
53,121,799.7038,17.118622302996204,5827,58,357,17,24,176.68553639392016,0.7096,68783
57,142,791.5203,8.24770852743277,8028,57,247,2,25,147.44849801052337,0.684,51573
51,128,351.21848,21.39077358836923,5963,64,297,6,24,186.45505114258694,0.7515,70778
55,146,319.79916,12.667853363292995,7139,60,236,5,23,144.42734284236832,0.8464,11667
53,148,200.18565,0.8094782766345947,7944,67,247,2,24,185.15379722597717,0.77895,33027
55,146,427.61493,3.010763534703338,5988,52,295,6,24,257.3348423405313,0.7442,70945
57,126,849.85095,3.253217264737795,6191,51,334,4,25,139.32175917608694,0.6688,76792
52,140,958.2223,10.93340087741301,7694,63,278,2,27,233.52752080237215,0.693,2450
55,135,811.8431,8.860456433716706,8003,51,243,3,24,141.84211533733622,0.62655,44500
56,140,641.60675,5.657548643264592,7980,53,264,4,26,104.09101111727026,0.75515,1673
62,132,892.70264,7.918725830224546,7404,51,257,4,27,100.79721731149144,0.5865,19851
57,130,768.39355,2.49699033917145,8009,54,244,8,25,204.09514827066945,0.68415,48434
55,112,935.8575,10.984154030223928,6938,57,221,3,27,160.6442154212832,0.7637,83529
56,142,853.03503,9.138578231223946,7426,49,271,5,27,134.3718923068265,0.7424,6007
58,130,958.1747,17.798018344941966,5645,55,240,0,28,177.01069701019915,0.84605,83680
52,125,388.83005000000003,12.165984344663993,5436,62,387,6,23,269.225768326452,0.7634,55992
51,120,857.31976,12.788027544751056,6263,54,265,8,28,192.85093316762035,0.7462,78967
53,131,776.3753,14.03174674649068,5936,56,359,4,24,278.63032702350745,0.7064,66596
48,138,271.3606,34.338379780742834,5244,64,483,7,26,61.78225085910249,0.77605,60906
49,63,88.145,16.494865132886904,6258,61,250,7,28,190.80072820535923,0.8407,78715
58,128,858.2018,2.3458584487691714,7946,52,246,5,25,247.41072909736735,0.5538,46468
56,142,641.47974,3.950357961250579,8063,57,263,2,26,202.0313855862385,0.7477,1204
55,112,893.35376,3.787085759836563,8020,57,258,2,25,82.29257115150492,0.7245,53272
59,129,990.0533,16.611534838778255,7629,57,261,5,27,45.60439846995647,0.8043,24111
55,122,928.32947,10.034525893235303,6686,56,281,3,26,194.9937064079368,0.7577,75455
53,122,901.9526,5.4709229640685075,7931,51,255,10,24,220.60647618734507,0.5108,43694
52,134,781.1809,10.052566325786803,7903,55,270,4,26,87.3859310788034,0.7774,3984
56,146,322.39352,31.87423099434102,7727,56,244,7,25,291.5283349517818,0.7754,7880
53,124,633.7814,31.962063889422588,5106,59,463,5,28,103.59618987640893,0.8489,57722
58,143,739.5115,7.893449975569193,7890,53,242,0,25,75.08007169072172,0.76105,22119
53,135,559.16656,5.544738452262572,6499,59,268,3,25,144.71649686281816,0.7025,67632
58,134,351.02344,33.15115414241008,6261,61,246,6,28,156.39823254479896,0.7552,86409
55,144,658.4818,4.642885628864481,8056,52,239,2,25,186.4188206542431,0.76085,52523
55,127,740.1168,6.43774750149423,8068,54,250,15,25,71.98138278365603,0.74285,53918
60,124,1011.8872,0.5201586463270863,7607,50,257,5,27,188.26553812773167,0.6134,24522
55,141,520.8322,12.159273330735212,7700,59,265,9,25,162.20698160567272,0.7789,6333
54,143,514.3644,18.973308837835663,6330,58,267,6,25,160.71336119510508,0.6946,68430
45,110,605.18195,19.603805366080277,5263,56,419,6,23,40.58619501342911,0.7214,55737
59,116,996.4982,3.3171315273851616,7346,53,264,4,27,267.2518062063841,0.4602,19955
52,99,565.58246,47.69316044671052,5355,58,423,8,23,165.27554772731193,0.68875,55368
56,117,827.3327,6.132936558368691,8038,53,252,5,24,236.50357111273036,0.594,47818
54,95,914.3972,8.27553080657944,6399,53,278,10,28,185.86195557922815,0.7347,14417
57,131,858.3552,12.011426437212563,8000,54,253,3,24,58.22456730769824,0.754,49286
55,135,972.26917,4.104509237417805,7802,57,266,1,27,118.79072796437696,0.74765,25244
52,146,539.99603,3.5131209406783417,7739,62,266,11,24,223.4819178617059,0.7644,5596
57,139,731.5284,7.568215530641821,7903,52,243,7,24,208.4844955173306,0.5698,40276
49,127,211.12291,22.330183291431805,5105,63,494,6,27,192.12501496288422,0.82725,60101
51,128,881.4243,9.326218875817686,7742,49,256,4,24,216.51771299928868,0.7523,37167
56,135,621.7256,10.102896715725931,6042,59,307,1,24,121.62712184963928,0.73155,69232
54,115,914.07526,17.835483262051596,7916,58,252,5,25,103.63615381945192,0.726,22974
57,137,896.34576,5.620546757966305,8021,49,259,6,25,72.59453069956771,0.6925,52851
51,149,751.7649,4.190106266120997,7851,62,274,16,26,282.17705979952,0.6669,4913
54,151,349.29962,2.980959423897313,7368,63,245,11,24,200.2506912172187,0.7399,10301
53,143,355.28946,46.765591408498494,6560,60,252,5,25,252.75646247673947,0.7589,76908
57,127,994.3214,3.134323585156456,6929,61,255,2,28,97.30266463702361,0.7376,18547
53,127,209.6396,30.707422665903753,5659,61,203,12,28,47.72820770995479,0.862,78774
51,140,221.272,8.671462508480849,7040,59,243,9,23,148.078300807356,0.7553,29370
61,124,817.9907,1.801506457680794,7991,52,242,8,25,54.39609811468615,0.4851,46843
55,129,420.6904,36.524538461243125,5702,62,311,4,28,45.53506852521727,0.8909,58102
56,129,776.5029,4.829874657842025,7693,52,251,5,25,170.74442102545288,0.69465,36086
55,127,1021.5684,8.427306947352431,6177,52,344,4,25,205.04616321368158,0.75425,76723
56,122,882.9735,18.270636098501402,6707,49,257,6,28,290.31486836817265,0.7991,82171
55,141,802.4225,7.711567511012645,7290,51,265,4,27,237.1597068592764,0.7561,9182
54,154,333.22336,8.766838396294393,5876,57,307,1,24,230.67903644473802,0.7079,71848
57,121,847.2256,12.59900172604856,6626,59,211,3,28,286.29385083810433,0.6844,82585
52,131,369.63263,8.956368716568889,5451,61,374,6,23,200.104682092248,0.7703,56519
56,126,980.37665,0.5458163271423347,7669,55,258,2,27,97.118205260916,0.6728,24671
54,138,198.59207,10.58458750326301,7550,63,237,7,24,227.9302280064488,0.8033,34134
53,115,821.4108,4.044612505063239,7985,55,246,5,25,194.34069827057584,0.578,47800
53,125,1014.26447,5.093430000923963,7748,55,267,3,27,74.654077892331,0.7552,25196
55,91,232.52475,39.07669819050708,5682,59,270,15,29,110.56844914095149,0.7305,65778
57,143,878.5145,7.224511631214055,7416,50,273,9,27,252.1433250255,0.7491,7071
55,136,741.61304,4.891840088584719,7894,55,243,10,24,232.17875818507417,0.6604,40160
55,138,657.3093,9.694675701289421,7961,56,266,4,26,202.97423304631852,0.7012,1498
52,85,883.0515,21.83103484409153,5725,59,339,5,28,144.62178163153635,0.7921,57337
49,119,352.8912,41.18815227693508,5606,50,429,7,26,185.05176476240692,0.8827,60587
63,131,806.7749,5.352473148366848,7678,48,247,1,26,101.00578931380763,0.6166,20698
50,116,676.1416,37.425970445926055,5212,59,318,6,29,94.67524071139648,0.84645,65615
53,143,327.65958,11.860741957284194,7573,61,249,7,24,175.0871169812517,0.7889,9723
51,150,306.73337,8.451892192740022,7460,62,248,8,24,177.89624489898824,0.7641,34599
56,152,586.0288,5.603285035874475,7978,65,259,6,26,110.21372282366536,0.7895,4518
50,130,143.64746,38.90290155780164,5340,59,429,5,24,141.34199333747117,0.8165,62170
52,127,871.47003,29.342226343515126,5059,55,280,6,29,272.17760767726304,0.7998,81882
52,138,603.20026,12.12113339329838,8058,61,251,2,26,133.56883765077822,0.763,4695
52,148,371.0538,20.56510206072704,7821,62,241,8,25,98.80974593959792,0.811,32102
56,126,867.16455,26.68659748145608,6162,56,270,5,28,224.98800614946305,0.81145,78889
59,124,483.7826,43.19733455862088,5106,59,199,7,28,25.849979891405773,0.7953,81025
55,152,842.21985,15.042420001584142,6909,51,264,2,26,46.485224098852676,0.7478,74984
56,126,861.05493,3.5180117280752987,8002,59,257,3,25,76.05801330404289,0.7289,53289
55,130,825.5586,5.609771374302947,7496,57,236,5,26,95.40505861395441,0.71475,16436
55,129,826.0151,4.7887538510159455,7889,51,261,1,26,228.53457253643347,0.7139,26691
55,112,763.9116,3.7626722070701426,8019,51,253,3,25,66.75066527045044,0.69105,53705
55,123,655.4175,13.114918133181776,7770,55,227,4,25,202.62053553818205,0.7488,42887
51,155,212.2016,4.117523520281487,6866,61,237,5,23,77.3489699485119,0.7167,30237
54,134,872.2622,14.482530053876488,6160,56,315,0,25,193.92618948884206,0.7432,66766
57,128,703.02057,3.6665979197479635,7306,54,237,4,26,256.6694699533112,0.701,35556
50,146,404.01193,6.05902902754884,7805,65,247,8,25,218.17156522435835,0.80935,32076
56,130,872.05505,4.113258084751512,7911,53,263,2,26,143.11417384243856,0.7439,26715
57,119,985.2489,4.993038746570853,7180,55,263,5,27,72.29557698306289,0.6866,18388
45,118,805.3989,38.284991637376585,5079,55,268,6,28,21.25132993559526,0.7849,82526
60,132,908.74023,3.833690423511629,7717,54,255,3,27,227.82420919521132,0.7068,23977
53,147,454.37198,10.440607669144544,6308,61,270,5,25,185.5873642868199,0.6899,68616
52,116,331.2615,50.74730789489209,4828,58,275,0,29,303.8059382540523,0.9032,63481
53,147,556.927,4.9789758795035866,7930,59,257,6,25,131.6720277617197,0.7801,31315
56,130,708.6612,4.767933062587631,8012,53,241,6,24,259.5199794895037,0.5088,43755
59,138,672.9712,2.0388042358917042,8032,55,238,7,24,148.82991108642597,0.64995,45555
53,82,606.27747,42.78231005942776,5849,60,336,8,27,184.30511123659306,0.8059,57943
55,129,976.47125,6.548980729902646,6635,49,283,2,26,81.6027043368225,0.6797,74659
55,145,1090.2062,11.493184324167393,6729,57,292,3,27,157.07481767088373,0.7447,73799
60,130,822.85956,2.372803386071045,7628,55,249,0,26,84.34824305629839,0.5844,20400
57,146,666.1995,5.233170977181955,7903,61,268,5,26,223.5149665224279,0.6916,4972
52,139,486.96304,2.917813280263411,6090,58,299,4,24,143.9747050623482,0.70795,69045
53,119,861.19617,1.9121633300378686,7384,54,244,5,26,223.64043539031277,0.729,37492
50,141,524.6375,9.63548786114224,7819,60,254,9,26,227.57528642020873,0.7745,6373
59,131,918.43005,7.062262273949089,7318,53,244,5,28,34.58856766911242,0.7806,73396
54,99,759.8865,37.503686837405596,5139,57,280,2,28,230.3516562044722,0.743,82756
58,140,823.7638,4.966673840465446,7984,53,264,1,27,169.95470419769015,0.7661,602
53,139,814.4838,8.857785164047472,7246,53,266,5,27,266.61614670359,0.7366,74059
56,133,697.26227,5.016549110398031,8023,55,238,6,25,246.05839495890305,0.672,47606
56,123,1000.2189,8.472972246176347,7801,54,273,1,26,169.97307240962306,0.75695,28577
53,148,392.9982,9.989453466264589,7823,59,244,4,26,205.80587516279496,0.7965,7877
64,114,479.33783,53.3682845934694,5750,56,354,0,27,141.69470936249485,0.70515,58263
56,142,627.074,8.792516058478675,8138,60,251,5,27,145.02280540261145,0.7418,2777
55,133,664.1455,2.722214516735685,8043,48,252,24,25,299.3346088147071,0.7527,30712
56,128,959.4624,10.366739958831266,7017,55,264,3,27,200.50305670852796,0.75935,17749
53,151,808.66113,17.060604515246684,7466,53,272,4,27,253.32403979012722,0.7886,7488
55,121,898.4801,5.8336698226631825,6180,55,338,4,25,265.8174014232172,0.7237,76662
54,132,757.40735,21.125619475839205,8016,51,246,4,24,223.42468551623392,0.6318,45430
57,123,224.77887,27.95911811541714,7551,57,241,6,25,273.80321630273636,0.77055,9739
57,127,855.9855,10.729345444760598,6024,56,355,10,25,91.98128720264553,0.6311,61775
59,130,872.97235,12.826677976980658,7391,52,253,3,27,178.25893450880974,0.69735,19512
58,96,625.6609,23.91934195810834,5264,59,214,10,29,153.88017485217617,0.8635,80143
59,135,793.3525,9.972422991678492,8020,49,239,5,25,83.31538056699566,0.5879,49588
55,133,722.55444,3.5811682380758625,8046,53,239,5,25,182.01863003203178,0.6159,49753
54,125,806.48145,5.802388126479456,7963,57,266,4,25,263.38428215001403,0.6637,52292
56,120,937.90906,1.9146963065224059,7449,56,242,8,25,64.90318387970196,0.71025,38245
51,126,773.77905,17.898857240975104,7900,61,268,8,26,149.75769453513615,0.8047,4682
50,141,488.7001,8.249991560824226,6304,59,269,4,24,162.17447813235378,0.7305,68957
54,135,866.8885,12.74470277475412,7442,54,236,3,25,57.30468686698391,0.7767,37765
50,147,162.6868,4.776242539752572,7226,65,236,7,23,155.50736603919256,0.81935,34827
58,140,667.9299,19.172844170750057,6242,57,251,4,28,40.698932640871355,0.7636,86479
52,148,624.16943,10.199905936021944,8071,64,261,2,26,190.34036443216908,0.79265,2748
53,126,616.1096,7.164589261237341,5588,59,373,7,23,134.760243547319,0.7161,56138
59,130,718.0226,1.5836304585521888,8030,50,236,9,25,273.7230763210635,0.5726,44859
55,146,802.0858,13.435337664908158,8091,56,238,2,25,153.60205347231854,0.6532,51442
